solitary;23;0.0550727%
Rita;22;0.0526782%
anything;22;0.0526782%
being;22;0.0526782%
eight;22;0.0526782%
fellow;22;0.0526782%
give;22;0.0526782%
happened;22;0.0526782%
keep;22;0.0526782%
many;22;0.0526782%
probably;22;0.0526782%
really;22;0.0526782%
rest;22;0.0526782%
taken;22;0.0526782%
under;22;0.0526782%
His;21;0.0502837%
last;21;0.0502837%
looking;21;0.0502837%
may;21;0.0502837%
mind;21;0.0502837%
months;21;0.0502837%
named;21;0.0502837%
set;21;0.0502837%
she;21;0.0502837%
why;21;0.0502837%
Blatch;20;0.0478893%
better;20;0.0478893%
couldn;20;0.0478893%
happy;20;0.0478893%
hell;20;0.0478893%
outside;20;0.0478893%
seven;20;0.0478893%
walked;20;0.0478893%
5;19;0.0454948%
Not;19;0.0454948%
Stammas;19;0.0454948%
case;19;0.0454948%
chance;19;0.0454948%
friend;19;0.0454948%
inside;19;0.0454948%
lawyer;19;0.0454948%
myself;19;0.0454948%
our;19;0.0454948%
pipe;19;0.0454948%
poster;19;0.0454948%
someone;19;0.0454948%
understand;19;0.0454948%
Bogs;18;0.0431004%
For;18;0.0431004%
Mert;18;0.0431004%
Williams;18;0.0431004%
best;18;0.0431004%
between;18;0.0431004%
concrete;18;0.0431004%
dollars;18;0.0431004%
each;18;0.0431004%
either;18;0.0431004%
hole;18;0.0431004%
job;18;0.0431004%
late;18;0.0431004%
laundry;18;0.0431004%
should;18;0.0431004%
sisters;18;0.0431004%
used;18;0.0431004%
whole;18;0.0431004%
young;18;0.0431004%
Byron;17;0.0407059%
Cellblock;17;0.0407059%
Gonyar;17;0.0407059%
feeling;17;0.0407059%
feet;17;0.0407059%
idea;17;0.0407059%
instead;17;0.0407059%
morning;17;0.0407059%
next;17;0.0407059%
read;17;0.0407059%
seemed;17;0.0407059%
since;17;0.0407059%
these;17;0.0407059%
walk;17;0.0407059%
against;16;0.0383114%
am;16;0.0383114%
dead;16;0.0383114%
felt;16;0.0383114%
find;16;0.0383114%
getting;16;0.0383114%
kind;16;0.0383114%
nothing;16;0.0383114%
open;16;0.0383114%
real;16;0.0383114%
room;16;0.0383114%
sort;16;0.0383114%
state;16;0.0383114%
tax;16;0.0383114%
world;16;0.0383114%
1950;15;0.035917%
After;15;0.035917%
As;15;0.035917%
Because;15;0.035917%
God;15;0.035917%
Hayworth;15;0.035917%
Maine;15;0.035917%
My;15;0.035917%
We;15;0.035917%
able;15;0.035917%
box;15;0.035917%
buy;15;0.035917%
couple;15;0.035917%
crazy;15;0.035917%
gave;15;0.035917%
gun;15;0.035917%
high;15;0.035917%
least;15;0.035917%
parole;15;0.035917%
piece;15;0.035917%
plate;15;0.035917%
started;15;0.035917%
such;15;0.035917%
true;15;0.035917%
walls;15;0.035917%
wouldn;15;0.035917%
All;14;0.0335225%
New;14;0.0335225%
Now;14;0.0335225%
Tremont;14;0.0335225%
Yes;14;0.0335225%
across;14;0.0335225%
although;14;0.0335225%
began;14;0.0335225%
car;14;0.0335225%
close;14;0.0335225%
cold;14;0.0335225%
country;14;0.0335225%
early;14;0.0335225%
exactly;14;0.0335225%
family;14;0.0335225%
hear;14;0.0335225%
liked;14;0.0335225%
mean;14;0.0335225%
roof;14;0.0335225%
second;14;0.0335225%
seen;14;0.0335225%
shit;14;0.0335225%
water;14;0.0335225%
At;13;0.031128%
Linda;13;0.031128%
On;13;0.031128%
One;13;0.031128%
Sunday;13;0.031128%
already;13;0.031128%
call;13;0.031128%
comes;13;0.031128%
hadn;13;0.031128%
having;13;0.031128%
house;13;0.031128%
lose;13;0.031128%
luck;13;0.031128%
need;13;0.031128%
run;13;0.031128%
shop;13;0.031128%
town;13;0.031128%
without;13;0.031128%
won;13;0.031128%
Buxton;12;0.0287336%
DA;12;0.0287336%
How;12;0.0287336%
Normaden;12;0.0287336%
Portland;12;0.0287336%
along;12;0.0287336%
beer;12;0.0287336%
both;12;0.0287336%
broke;12;0.0287336%
carefully;12;0.0287336%
cons;12;0.0287336%
door;12;0.0287336%
during;12;0.0287336%
few;12;0.0287336%
fine;12;0.0287336%
guys;12;0.0287336%
jury;12;0.0287336%
key;12;0.0287336%
kid;12;0.0287336%
matter;12;0.0287336%
office;12;0.0287336%
others;12;0.0287336%
papers;12;0.0287336%
red;12;0.0287336%
safe;12;0.0287336%
screws;12;0.0287336%
smiled;12;0.0287336%
sometimes;12;0.0287336%
suppose;12;0.0287336%
thinking;12;0.0287336%
thousand;12;0.0287336%
woman;12;0.0287336%
word;12;0.0287336%
By;11;0.0263391%
Glenn;11;0.0263391%
Mr;11;0.0263391%
Sam;11;0.0263391%
September;11;0.0263391%
Stevens;11;0.0263391%
Why;11;0.0263391%
ask;11;0.0263391%
bars;11;0.0263391%
caught;11;0.0263391%
died;11;0.0263391%
different;11;0.0263391%
dozen;11;0.0263391%
except;11;0.0263391%
game;11;0.0263391%
home;11;0.0263391%
infirmary;11;0.0263391%
isn;11;0.0263391%
its;11;0.0263391%
kept;11;0.0263391%
known;11;0.0263391%
less;11;0.0263391%
light;11;0.0263391%
lost;11;0.0263391%
ones;11;0.0263391%
picture;11;0.0263391%
together;11;0.0263391%
ways;11;0.0263391%
white;11;0.0263391%
working;11;0.0263391%
yourself;11;0.0263391%
Diamond;10;0.0239446%
Peter;10;0.0239446%
This;10;0.0239446%
Well;10;0.0239446%
afternoon;10;0.0239446%
anyone;10;0.0239446%
become;10;0.0239446%
black;10;0.0239446%
break;10;0.0239446%
cigarettes;10;0.0239446%
cut;10;0.0239446%
damn;10;0.0239446%
decided;10;0.0239446%
dishtowels;10;0.0239446%
escape;10;0.0239446%
fact;10;0.0239446%
feel;10;0.0239446%
goes;10;0.0239446%
grey;10;0.0239446%
held;10;0.0239446%
hope;10;0.0239446%
low;10;0.0239446%
minutes;10;0.0239446%
murder;10;0.0239446%
pay;10;0.0239446%
pick;10;0.0239446%
plus;10;0.0239446%
prisoners;10;0.0239446%
running;10;0.0239446%
saying;10;0.0239446%
seems;10;0.0239446%
shut;10;0.0239446%
sir;10;0.0239446%
smile;10;0.0239446%
son;10;0.0239446%
step;10;0.0239446%
trouble;10;0.0239446%
try;10;0.0239446%
turn;10;0.0239446%
watching;10;0.0239446%
wrong;10;0.0239446%
Chester;9;0.0215502%
Dunahy;9;0.0215502%
El;9;0.0215502%
Ernie;9;0.0215502%
Jim;9;0.0215502%
Prison;9;0.0215502%
Sid;9;0.0215502%
actually;9;0.0215502%
anyway;9;0.0215502%
bag;9;0.0215502%
bottle;9;0.0215502%
boy;9;0.0215502%
brought;9;0.0215502%
cells;9;0.0215502%
change;9;0.0215502%
club;9;0.0215502%
does;9;0.0215502%
dog;9;0.0215502%
drink;9;0.0215502%
ended;9;0.0215502%
everything;9;0.0215502%
eye;9;0.0215502%
field;9;0.0215502%
fifteen;9;0.0215502%
finally;9;0.0215502%
front;9;0.0215502%
full;9;0.0215502%
guard;9;0.0215502%
hayfield;9;0.0215502%
hit;9;0.0215502%
hours;9;0.0215502%
hurricane;9;0.0215502%
kill;9;0.0215502%
lights;9;0.0215502%
live;9;0.0215502%
moment;9;0.0215502%
passed;9;0.0215502%
past;9;0.0215502%
picked;9;0.0215502%
point;9;0.0215502%
quite;9;0.0215502%
